"gene","padj","logpadj","lfc","direction"
"KAZN",8.27251204674117e-23,22.0823625917318,-0.594636391207366,"pituitary"
"APIP",5.86138835487311e-65,64.2319995028479,-0.594901571744725,"pituitary"
"LOC107052324",1.26092509096449e-12,11.8993107132264,-0.594969736157217,"pituitary"
"EXTL2",1.8028429221895e-83,82.7440421107696,-0.594993296161227,"pituitary"
"C1R",8.90653905371107e-11,10.050291023446,-0.59536330735204,"pituitary"
"PPHLN1",3.0440513549955e-120,119.516548025028,-0.595545969328795,"pituitary"
"ITGB1BP1",5.63100677696516e-71,70.2494139499815,-0.595760506945772,"pituitary"
"LRRC59",7.76937454069365e-13,12.1096139418759,-0.595810867081631,"pituitary"
"KCNJ5",1.13582912448678e-15,14.9446869995003,-0.59586130068254,"pituitary"
"ZNF710",1.15200038457573e-39,38.938547375931,-0.596157268912893,"pituitary"
"SOX12",2.81580144446143e-15,14.5503979726176,-0.596184660641818,"pituitary"
"ATG4A",1.91072925203724e-124,123.718800847574,-0.59620643851846,"pituitary"
"TOM1L2",3.54274130738015e-34,33.4506605588943,-0.597002677850283,"pituitary"
"ABCA2",3.84669510901284e-34,33.4149122347279,-0.597341377255111,"pituitary"
"MXD4",1.16912754510982e-89,88.9321381072164,-0.597459508318761,"pituitary"
"ATG13",1.2531893622646e-68,67.9019833002964,-0.597646125682869,"pituitary"
"PRKCI",4.45777615105409e-23,22.3508817435729,-0.597729688405137,"pituitary"
"FOXP1",3.61344900765161e-33,32.4420780695891,-0.598289038054129,"pituitary"
"ING5",2.90611342602541e-82,81.536687439131,-0.59829713737714,"pituitary"
"MTUS2",1.90142715780541e-10,9.72092030741733,-0.598832238233983,"pituitary"
"TAF8",6.1589683546414e-130,129.21049202735,-0.599760558407518,"pituitary"
"CBLB",7.65461084690939e-50,49.1160768835204,-0.600554242039584,"pituitary"
"HDAC9",1.71718308136448e-104,103.76518339908,-0.600576904080166,"pituitary"
"FAM98B",1.02173217619929e-52,51.9906629296827,-0.600732055415315,"pituitary"
"TMEM5",2.63491382355992e-85,84.5792335840812,-0.601066261780671,"pituitary"
"KIAA0907",2.28629669154031e-87,86.6408674121131,-0.601135243360774,"pituitary"
"SHANK2",1.59445664217284e-18,17.797387285967,-0.60161179100284,"pituitary"
"B3GNTL2",0.00307889742169405,2.51160478005891,-0.601827210438245,"pituitary"
"ARHGEF18",2.364737793999e-44,43.6262170075403,-0.601943080243353,"pituitary"
"CHTOP",3.31968867583837e-204,203.478902643014,-0.60206083298062,"pituitary"
"NOG",8.3191168017957e-07,6.07992277809228,-0.60237170951545,"pituitary"
"CCNC",2.7959348063358e-52,51.5534729593851,-0.602596122378827,"pituitary"
"FLRT2",4.33742758638757e-11,10.3627677627128,-0.602707486902802,"pituitary"
"RASAL2",6.45970817300057e-62,61.189787101466,-0.60313097040698,"pituitary"
"ITGA8",2.24669209971459e-19,18.6484564418476,-0.603845169077178,"pituitary"
"PDXP",2.2897203914462e-38,37.6402175481693,-0.60447842229402,"pituitary"
"C5H11ORF96",1.42367566687501e-15,14.8465889377566,-0.605083216668796,"pituitary"
"UBL4A",4.32238174741708e-26,25.3642768794067,-0.605094570676925,"pituitary"
"SCRT2",3.64148985859733e-10,9.43872089520068,-0.605249823127659,"pituitary"
"GALC",3.3499342439666e-25,24.4749637176684,-0.605608420822871,"pituitary"
"PIGG",3.39296931389107e-36,35.4694200681085,-0.606286048788075,"pituitary"
"ERBB2IP",8.08491168875531e-21,20.0923247195171,-0.606651839663958,"pituitary"
"ASXL2",1.66757538418087e-19,18.7779145243117,-0.607173027197769,"pituitary"
"CHST2",6.20589691106827e-77,76.207195442952,-0.607497106527842,"pituitary"
"LOC107057034",2.55897469794133e-20,19.5919340082116,-0.607620582452266,"pituitary"
"APOV1",5.16415401354525e-10,9.28700081399752,-0.607629234046418,"pituitary"
"MPZL3",1.47252162872747e-26,25.8319383174794,-0.607966378154564,"pituitary"
"RBBP6",1.01096149361319e-101,100.995265385883,-0.608308834041426,"pituitary"
"TP53INP2",4.04116847654831e-17,16.3934930434178,-0.608989884021055,"pituitary"
"SSR1",4.56484363276457e-55,54.3405740944913,-0.60952948870486,"pituitary"
"RBL1",2.20218833522374e-28,27.6571455421078,-0.610115927875963,"pituitary"
