"gene","lfc","padj","logpadj","direction"
"COL4A3BP",0.257064123837153,0.0229490375002174,1.63923552437988,"bldg"
"ANTXR2",0.257055784524374,0.0284222373531047,1.54634173809531,"bldg"
"SRGAP3",0.256779554403891,0.0230121889024708,1.63804206959509,"bldg"
"NRARP",0.256584437017723,0.0639379591811162,1.19424122997432,"bldg"
"TRAPPC11",0.25656266550086,0.00129373029314993,2.88815625257402,"bldg"
"PDS5A",0.256541284250792,0.00155511976741974,2.80823615819565,"bldg"
"TFAM",0.255444140260481,0.0593482303010711,1.22659222669993,"bldg"
"WDR82",0.255110315450875,0.000178833711279305,3.74755061058166,"bldg"
"NAA25",0.255108919525696,0.0180766020343709,1.74288320308706,"bldg"
"SORL1",0.254236785949825,0.078706094753576,1.1039916359337,"bldg"
"KIAA0355",0.254109455707972,0.00171558598531838,2.76558751018521,"bldg"
"C26H6ORF106",0.254047470297098,0.00628717549164223,2.20154441717675,"bldg"
"HEATR3",0.25392403857266,0.033913636415807,1.46962564016452,"bldg"
"SUPV3L1",0.253875777266701,0.00459830979370709,2.33740177313518,"bldg"
"LIG4",0.253737656390062,0.0306823167984729,1.51311185023792,"bldg"
"FAM49A",0.253533079094712,0.0121600165757546,1.9150658330605,"bldg"
"SVOP",0.253515569357922,0.00576164647664459,2.23945339269785,"bldg"
"ARPC1A",0.253465337810776,0.00174632494004615,2.75787494359777,"bldg"
"SYNRG",0.253356947926962,0.0148171283114587,1.8292359582551,"bldg"
"TMTC1",0.253050795295684,0.0352172116927162,1.45324503208265,"bldg"
"DAAM1",0.252952804905328,0.0134075283347922,1.87265127654793,"bldg"
"ADCY5",0.252706326508546,0.0961080194581798,1.01724037236137,"bldg"
"ACTR8",0.252561374566951,0.0165554796278401,1.78105823280941,"bldg"
"ATG2B",0.252487737802601,0.015657565745378,1.80527575604084,"bldg"
"ZNF618",0.252342531119848,0.0273634765192366,1.56282872649853,"bldg"
"ZBTB5",0.252072738568717,0.0714081333767545,1.14625231932364,"bldg"
"RNF123",0.251905426886045,0.0538139690419699,1.26910497544175,"bldg"
"MOGAT1",0.251709712762295,0.0784126580920479,1.10561382384887,"bldg"
"VPS33B",0.251593713047211,0.0690013645341888,1.16114232080175,"bldg"
"FKBP9",0.251416962346499,0.0634761976231862,1.1973890964214,"bldg"
"DPY19L4",0.251374863898652,0.0584395341655077,1.23329325458161,"bldg"
"BRD3",0.251156105083112,0.0197153519422791,1.70519546585297,"bldg"
"GABRA1",0.251091831321333,0.0216247755909365,1.66504839068968,"bldg"
"PTP4A2",0.25060358177818,0.00920842923811952,2.03581444487328,"bldg"
"FOXO4",0.25025413200763,0.0180742879467037,1.74293880312935,"bldg"
"TLN2",0.250160318038561,0.0100772404241551,1.99665837985901,"bldg"
"LRFN3",0.250156501367035,0.0819501447222422,1.08645027513783,"bldg"
"UBASH3B",0.250074528937793,0.040913255580287,1.38813596112007,"bldg"
"MLX",0.249590611694544,0.0607055496099737,1.21677160456201,"bldg"
"ASB13",0.2495772457433,0.089841226739355,1.04652432662087,"bldg"
"THUMPD1",0.249577173959934,0.0117816606842778,1.92879348924455,"bldg"
"MTMR7",0.24931881623108,0.00390192151028735,2.40872147097224,"bldg"
"CNOT7",0.249139874588277,0.0303988128261178,1.51714337669169,"bldg"
"SLC35F5",0.249045829458236,0.0380996482272651,1.41907903413181,"bldg"
"DNAJC6",0.248920592930669,0.0102105752429028,1.99094978996197,"bldg"
"TMTC3",0.24885495418281,0.0565280315055262,1.24773613785799,"bldg"
"CDC40",0.248796625649416,0.0149207118096666,1.82621045785286,"bldg"
"ERI3",0.248619339044493,0.0139398177874267,1.85574290302655,"bldg"
"FBXO33",0.248358383922552,0.0130192350669743,1.88541453158588,"bldg"
"TROVE2",0.247962079830013,0.0246767812549004,1.60771148865819,"bldg"
"PLA2G6",0.247660838868305,0.0860314685382057,1.06534266372493,"bldg"
"CLIP1",0.247643291660102,0.00564590098064568,2.24826674289762,"bldg"
"WLS",0.247608073227219,0.0711921658323785,1.147567794607,"bldg"
"ZCCHC2",0.247471487494934,0.031922126657553,1.49590818358464,"bldg"
"RP11-478C19.2",0.247418823798891,0.0361593540644942,1.4417793361815,"bldg"
"CASP8AP2",0.247273305516525,0.0834650180909418,1.07849550814945,"bldg"
"DDX6",0.247060894154675,0.00378944458021237,2.42142444001229,"bldg"
"STK25",0.24697184483801,0.00151816446140389,2.81868117915769,"bldg"
"ADRA2A",0.246563745870434,0.0600891656662607,1.22120382609251,"bldg"
