"gene","counts","sex","tissue","treatment","samples"
"AVP",5.52591257236655,"female","pituitary","m.n2","l.s.w.d_female_pituitary_m.hatch"
"AVP",5.51302482608175,"female","pituitary","prolong","l.s052.pk.r_female_pituitary_prolong"
"AVP",5.2779160667198,"female","pituitary","bldg","l.s120.y.blk_female_pituitary_bldg"
"AVP",5.75360774737103,"female","pituitary","prolong","l.s166.o.w_female_pituitary_prolong"
"AVP",5.28821604764611,"female","pituitary","m.inc.d17","o.s084.w.blk_female_pituitary_m.inc.d17"
"AVP",5.38736915703106,"female","pituitary","inc.d3","o156.w80.x_female_pituitary_inc.d3"
"AVP",5.30423394916917,"female","pituitary","inc.d3","o165.w122.x_female_pituitary_inc.d3.NYNO"
"AVP",5.35042786389587,"female","pituitary","m.inc.d17","o169.r28.x_female_pituitary_m.inc.d17"
"AVP",5.09617484266787,"female","pituitary","hatch","o172.w115.x_female_pituitary_hatch.NYNO"
"AVP",5.09617484266787,"female","pituitary","inc.d3","o173.w179.x_female_pituitary_inc.d3"
"AVP",5.09617484266787,"female","pituitary","inc.d17","o35.r51.x_female_pituitary_inc.d17"
"AVP",5.09617484266787,"female","pituitary","m.inc.d9","o36.r62.x_female_pituitary_m.inc.d9"
"AVP",5.41512035068674,"female","pituitary","bldg","o38.blu29.x_female_pituitary_bldg"
"AVP",5.09617484266787,"female","pituitary","m.inc.d9","o45.g128.x_female_pituitary_m.inc.d9"
"AVP",5.37181691420872,"female","pituitary","inc.d17","o52.blu53_female_pituitary_inc.d17"
"AVP",5.09617484266787,"female","pituitary","inc.d9","o73.x_female_pituitary_inc.d9"
"AVP",5.30291486219755,"female","pituitary","early","p.g.blk.s040_female_pituitary_m.inc.d8"
"AVP",5.09617484266787,"female","pituitary","m.inc.d17","pk.s011.o.y_female_pituitary_m.inc.d17"
"AVP",5.42682501343236,"female","pituitary","m.n2","pk.s054.d.g_female_pituitary_m.hatch"
"AVP",5.33632553692271,"female","pituitary","early","pk.s055.d.l_female_pituitary_m.inc.d8"
"AVP",5.09617484266787,"female","pituitary","control","r.r.x.ATLAS.R2XR_female_pituitary_control"
"AVP",5.99072281943382,"female","pituitary","control","r.r.x.ATLAS_female_pituitary_control"
"AVP",5.09617484266787,"female","pituitary","m.inc.d3","r.s035.y.blk_female_pituitary_m.inc.d3"
"AVP",5.62223067050711,"female","pituitary","bldg","r.s056.g.o_female_pituitary_bldg"
"AVP",5.45693514422627,"female","pituitary","extend","r.s131.o.d_female_pituitary_extend"
"AVP",5.09617484266787,"female","pituitary","n9","r.s171.l.w_female_pituitary_n9"
"AVP",5.41414281482782,"female","pituitary","hatch","r183.o22_female_pituitary_hatch"
